UBIGEO,NOMBRE,DEPARTAMENTO,DISTRITO
080105,VIRGEN ASUNTA,CUSCO,SAN SEBASTIAN
150142,CENTRO MEDICO PARROQUIAL SAN MARTIN DE PORRES,LIMA,VILLA EL SALVADOR
220901,IMESAN E.I.R.L,SAN MARTIN,TARAPOTO
150502,CLINICA SAN PABLO - SEDE ASIA,LIMA,ASIA
200601,CENTRO DE DIALISIS VITTA DIAL SAC,PIURA,SULLANA
120107,CENTRO DE SALUD MENTAL COMUNITARIO CHILCA,JUNIN,CHILCA
150116,CENTRO MEDICO VIALMED,LIMA,LINCE
040126,CLINICA ALIVIARI,AREQUIPA,YANAHUARA
200101,SMILE DESIGN CENTER S.A.C.,PIURA,PIURA
160508,PUESTO DE SALUD I-1 CURINGA,LORETO,SOPLIN
150601,TULUZDENT E.I.R.L.,LIMA,HUARAL
040101,ROE LABORATORIO,AREQUIPA,AREQUIPA
150131,PATOLOGIA S.R.L.,LIMA,SAN ISIDRO
150716,EL PARAISO,LIMA,SAN ANTONIO
220503,SANTA CLARA,SAN MARTIN,BARRANQUITA
100602,ALTO PENDENCIA,HUANUCO,DANIEL ALOMIA ROBLES
100603,SAN PEDRO DE HUAYHUANTE,HUANUCO,HERMILIO VALDIZAN
160112,MUNICHS - RIO ITAYA,LORETO,BELEN
120503,ATOCSAICO,JUNIN,ONDORES
160206,P.S. I-1 CHARUPA,LORETO,LAGUNAS
150605,CENTRO DE SALUD MENTAL COMUNITARIO PUERTO CHANCAY,LIMA,CHANCAY
060101,CONSULTORIO DENTAL CÉSPEDES,CAJAMARCA,CAJAMARCA
220911,REFORMA,SAN MARTIN,PAPAPLAYA
080101,PEDIATRAS CUSCO,CUSCO,CUSCO
160201,C.S. I-3 LOMA,LORETO,YURIMAGUAS
160201,C.S. I-3 CARRETERA KM 1.5,LORETO,YURIMAGUAS
160701,P.S. I-1 INDUSTRIAL,LORETO,BARRANCA
160702,P.S. I-1 SAN ANTONIO DE CAHUAPANAS,LORETO,CAHUAPANAS
160104,P.S. I-1 YANAYACU BOMBONAJE,LORETO,INDIANA
160104,P.S. I-1 VAINILLA,LORETO,INDIANA
090702,HUAYTACORRAL,HUANCAVELICA,ACOSTAMBO
160804,BETANIA,LORETO,YAGUAS
100102,LABORATORIO CLÍNICO NEISSER,HUANUCO,AMARILIS
160108,OPTICA CUBAS,LORETO,PUNCHANA
090411,ASTOBAMBA,HUANCAVELICA,SANTA ANA
080108,JOSE PARDO EXPRESS,CUSCO,WANCHAQ
050116,HOGAR PROTEGIDO AYACUCHO,AYACUCHO,ANDRES AVELINO CACERES D.
200114,PUESTO DE SALUD CP4,PIURA,TAMBO GRANDE
211102,AYACACHI,PUNO,CABANA
200805,E.S.  LA TORTUGA,PIURA,VICE
150806,CONSULTORIO DE ENFERMERÍA Y LABORATORIO CLINICO SERVIMEDIC,LIMA,HUAURA
